,GAME_ID,Team_Home,Team_Away,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After
872,21600629,CHA,POR,1521.1687480373826,1520.8328997461651,1535.2264052981718,1506.7752424853759
873,21600635,SAC,IND,1479.802865530529,1488.9759033787168,1470.8175384022747,1497.961230506971
874,21600633,DET,ATL,1491.9038707230864,1519.54952661934,1508.1918863647513,1503.261510977675
875,21600628,WAS,MEM,1495.554496218017,1516.1079311574717,1500.4510819916177,1511.211345383871
876,21600627,PHI,TOR,1507.4669408451705,1520.1700501606895,1513.4345335038352,1514.2024575020248
877,21700664,CLE,ORL,1479.6092232788262,1477.0278728537992,1482.8233371253993,1473.813759007226
878,21700663,BOS,PHI,1488.8152280242332,1511.3259001278764,1477.9817565301705,1522.159371621939
879,21700666,POR,IND,1506.3314318640319,1499.7209228802283,1516.3843012713953,1489.6680534728648
880,21700665,HOU,MIN,1511.2100978151288,1503.7709917816728,1523.0721881873071,1491.9089014094945
881,21800672,DET,MIA,1507.3939147735634,1512.2050902369651,1513.1679504598278,1506.4310545507008
882,21800675,UTA,CLE,1513.087640608917,1488.3675028440496,1523.242503538902,1478.2126399140645
883,21800676,LAC,GSW,1525.0770418767017,1532.6160245135636,1507.2873305047103,1550.405735885555
884,21800677,POR,NOP,1513.5382259535465,1509.6152568208665,1524.6537615749867,1498.4997211994264
885,21800674,MIN,SAS,1495.181676057121,1501.4600052797057,1488.6255512431298,1508.0161300936968
886,21800671,BOS,MEM,1484.7363173976278,1509.6585090379033,1491.630712543171,1502.76411389236
887,21800673,ORL,BKN,1481.6103192554197,1486.6230878385525,1475.921310794558,1492.3120962994142
888,21900631,CHI,CLE,1507.5010196794524,1484.9094799355485,1511.0241359283339,1481.386363686667
889,21900632,MIN,TOR,1492.7191634323474,1511.9018431265185,1481.0429580615794,1523.5780484972865
890,21900626,NOP,LAC,1500.1247908995697,1506.7154978785327,1493.575137314218,1513.2651514638844
891,21900629,ATL,DET,1503.6961332332562,1511.1259628448709,1476.306532746475,1538.515563331652
892,21900627,BKN,MIL,1495.4840722245606,1493.4140080885397,1475.766432406724,1513.1316479063762
893,21900628,BOS,PHX,1494.9730344073782,1515.5394651817471,1487.8892473520084,1522.623252237117
894,21900633,HOU,LAL,1518.5541411404804,1500.0722923198857,1506.2378137327064,1512.3886197276597
895,21900635,OKC,POR,1488.3696824393846,1519.74032118124,1499.5819688270444,1508.5280347935802
896,21900630,NYK,PHI,1516.2593187399473,1517.8695287164542,1509.6062940319814,1524.52255342442
897,21900636,UTA,SAC,1518.6818776541763,1479.3631538017062,1530.5305321741023,1467.5144992817802
898,21900634,GSW,ORL,1539.0543019141662,1483.1909830959185,1547.1223493807897,1475.122935629295
899,22000206,MIA,DET,1506.0732909130256,1530.136672498739,1512.9436833080808,1523.2662801036838
900,22000210,TOR,DAL,1518.933536372965,1504.841516023979,1532.6070540484357,1491.1679983485083
901,22000203,NYK,ORL,1508.454720523986,1482.5922017219712,1514.500828197368,1476.546094048589
902,22000211,CHI,HOU,1509.5181019462505,1505.9283602995297,1515.0901831822277,1500.3562790635524
903,22000207,POR,SAS,1507.646026095185,1507.2620975702725,1487.3520147990062,1527.5561088664515
904,22000208,MEM,PHX,1503.32308541927,1518.2174391778376,1508.734939066562,1512.8055855305456
905,22000209,BKN,MIL,1483.074824305043,1511.0987359297822,1487.437254547836,1506.7363056869892
906,22000205,ATL,MIN,1483.4798995598562,1487.0322185461846,1492.4667452260076,1478.0453728800333
907,22000212,LAL,GSW,1510.5414647957448,1536.5917620355922,1505.226087138708,1541.907139692629
908,22100667,GSW,DET,1532.6803547694717,1518.6997100777628,1543.3245933013147,1508.0554715459198
909,22100666,NYK,MIN,1512.125621148026,1484.784029660025,1505.849960000096,1491.0596908079551
910,21500627,DEN,OKC,1509.5874153009206,1500.9364766202834,1500.0889183255804,1510.4349735956237
911,21500626,NOP,MIN,1496.4313529856636,1494.5447681059663,1507.1691770383416,1483.8069440532884
912,21500628,PHX,IND,1510.8541891479092,1493.5010401046486,1503.80410543721,1500.5511238153479
913,21500625,MIA,MIL,1510.9577624810606,1506.302229265242,1496.838413761602,1520.4215779847007
914,21600640,LAC,MIN,1511.1988635979133,1489.1052080399663,1504.0487621337209,1496.2553095041587
915,21600636,CLE,PHX,1487.2897727650002,1504.1030790779075,1498.902217698985,1492.4906341439228
916,21600639,SAS,DEN,1521.9170816498386,1501.3166887441853,1531.3775746786123,1491.8561957154116
917,21600637,MIA,DAL,1498.8788103212014,1494.6259987613812,1503.8721825441908,1489.6326265383918
918,21600638,NYK,WAS,1505.637470000072,1500.4510819916177,1498.8427384436743,1507.2458135480153
919,21700670,MEM,SAC,1507.8012042999214,1476.885874461335,1518.503903299116,1466.1831754621405
920,21700671,DEN,PHX,1495.1421467865587,1495.617975607942,1484.299128508021,1506.4609938864796
921,21700669,DET,WAS,1507.2916036594397,1506.6843601610115,1494.856332903629,1519.1196309168222
922,21700667,TOR,SAS,1525.7052905363266,1524.7831810089592,1530.1824297887954,1520.3060417564905
923,21700672,UTA,NYK,1524.1478991305767,1500.3820538327557,1517.9376536175985,1506.5922993457339
924,21700668,BKN,MIA,1491.8279409108768,1504.154136908143,1498.3749333667984,1497.6071444522215
925,21700673,LAL,IND,1505.169565354031,1501.663342861511,1514.8745814145268,1491.9583268010151
926,21800685,CHI,MIA,1512.5676373866709,1499.4553583391662,1496.553619814767,1515.46937591107
927,21800679,CHA,PHX,1527.6698039736289,1506.0957454148597,1539.6669640496536,1494.098585338835
928,21800686,HOU,LAL,1501.5172092976643,1512.405936060895,1506.8398992926545,1507.0832460659049
929,21800680,DET,SAC,1497.3922496777218,1475.8873815966053,1491.2233017053702,1482.056329568957
930,21800687,DEN,CLE,1489.474346381016,1500.4266632742388,1504.215100045716,1485.6859096095386
931,21800683,ATL,BOS,1495.6000589195057,1492.1669355140064,1484.6247108638952,1503.142283569617
932,21800682,ORL,MIL,1483.6595705364418,1516.5661834885254,1472.5015836681948,1527.7241703567724
933,21800684,TOR,MEM,1523.8868223415966,1515.127927474337,1540.4079714982074,1498.6067783177261
934,21800678,PHI,OKC,1519.641915068315,1509.0762301967177,1513.6719985694133,1515.0461466956194
935,21800681,IND,DAL,1495.2187451007612,1493.4744699037938,1504.5048654757966,1484.1883495287584
