player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Pat Connaughton,connapa01,2023,RS,MIL,138,64,-.169512131266052,3.065065707291598,2.895553576025546,2.069301209348856,.3439514877062442,2.4132526970551,.3072053627568411,2.622064399993482,2.929269762750323,.1845892391150065,.1845892391150065,0,-.2730097874024028,1.88106728734485,1.608057499942447,-.4663679240311916
Robert Covington,covinro01,2023,RS,LAC,453,213,-1.164891279593639,2.104739603848122,.9398483242544833,-2.94884873873163,4.996069086168323,2.047220347436694,-1.534179122654935,2.802315217697825,1.268136095042891,.438982031246284,.438982031246284,0,-1.914752027447509,1.477748650766121,-.4370033766813881,.5377091266736227
Torrey Craig,craigto01,2023,RS,PHO,1038,496,-.4914989299372689,.2682850403447029,-.223213889592566,-5.058125619797941,-5.124478221376169,-10.18260384117411,-1.515003947103169,-.8775890502660123,-2.392592997369181,.0902643184053953,.0902643184053953,0,-1.894608239436376,.1917301332581792,-1.702878106178197,-.2022591116120515
Jarrett Culver,culveja01,2023,RS,ATL,69,33,-5.690842916367519,1.530194543772132,-4.160648372595387,4.574928994143837,3.110383962333006,7.685312956476844,-3.927481946780972,1.888482340682944,-2.038999606098028,.0119528672663516,.0119528672663516,0,-5.275725564162195,.1188879483672893,-5.156837615794905,-.1518085554540905
Cade Cunningham,cunnica01,2023,RS,DET,853,400,-1.864373183275511,-2.323559543779306,-4.187932727054816,-.4261342149170255,-1.525115505487309,-1.951249720404334,-1.605493650835613,-2.231026871142857,-3.83652052197847,-.22295989716497,-.22295989716497,0,-.295536402821502,-2.031932106251881,-2.327468509073383,.557930085325521
Seth Curry,curryse01,2023,RS,BRK,627,301,-.6982288628065372,-1.647027556018288,-2.345256418824825,-2.38384860982082,4.192232492924136,1.808383883103316,-1.113493392828365,-.5385793548242717,-1.652072747652636,.1687351618194903,.1687351618194903,0,-.7809139277344748,-.3782292585277002,-1.159143186262175,.075758534876212
Stephen Curry,curryst01,2023,RS,GSW,1520,694,10.65767727094394,-1.399166885590826,9.258510385353116,15.40681283523917,-.5144855841478385,14.89232725109133,12.14660125020916,-1.293508767742096,10.85309248246706,4.929868770598871,4.929868770598871,0,11.54086073400015,-.981575531648135,10.55928520235201,2.379945640158751
Dyson Daniels,daniedy01,2023,RS,NOP,498,227,.9082106551007699,3.447122616611243,4.355333271712013,-4.073374104827831,5.215872427577392,1.142498322749561,-.125203638670386,3.933631528989315,3.808427890318929,.7618397648829845,.7618397648829845,0,-.0030370777359345,3.077006764630598,3.073969686894663,.3027364580565057
Anthony Davis,davisan02,2023,RS,LAL,1319,615,3.332665804882846,5.368467330904674,8.70113313578752,4.272930242117343,.6795252740564619,4.952455516173805,3.823673199243886,4.690457441815661,8.514130641059547,3.51300594579417,3.51300594579417,0,2.508390190393893,5.168215446622842,7.676605637016735,-.6118452222990342
JD Davison,davisjd01,2023,RS,BOS,17,8,-11.03623060288576,.4016207461184245,-10.63460985676733,-11.8940830465642,-5.64239718403099,-17.53648023059519,-12.12846308462133,-.8554904853447873,-12.98395356996612,-.0437137112844401,-.0437137112844401,0,-6.76885224638267,-5.723086194465993,-12.49193844084866,4.705678616174536
Johnny Davis,davisjo06,2023,RS,WAS,95,45,-6.202167177947737,-12.92320579872882,-19.12537297667656,-20.60215927461768,-3.365460326729867,-23.96761960134755,-9.550699630565521,-11.7042398511808,-21.25493948174632,-.4247881238784778,-.4247881238784778,0,-10.29592448153926,-10.82960914723375,-21.12553362877301,-.0159031569329877
Terence Davis,daviste02,2023,RS,SAC,557,253,2.02771866892303,-.1979820824528036,1.829736586470226,3.829342652110096,4.108452384219925,7.937795036330021,2.471035780042762,.7093008115447078,3.18033659158747,.7758172034665204,.7758172034665204,0,2.701469509671211,1.330031390350591,4.031500900021802,1.364740026652777
Dewayne Dedmon,dedmode01,2023,RS,MIA,484,226,2.781660725607926,.6969691452391145,3.47862987084704,-.7234254041524143,-4.487783040043731,-5.211208444196146,2.248709766902698,-.3436403395935276,1.90506942730917,.5390307627004025,.5390307627004025,0,1.798020399842913,-.2381659597615337,1.559854440081379,.429204626739223
Matthew Dellavedova,dellama01,2023,RS,SAC,119,52,-2.383023428572982,1.735584305185406,-.6474391233875765,.1996998785168461,2.963940514717455,3.163640393234302,-2.040119766328953,2.084929192669559,.0448094263406063,.0751618208325349,.0751618208325349,0,-2.294760266756741,.8419365275386558,-1.452823739218085,1.384151555754722
DeMar DeRozan,derozde01,2023,RS,CHI,1537,729,4.091883527836351,-.9431134616908238,3.148770066145527,2.1872746217626,.1895037321360057,2.376778353898606,4.00926368341737,-.8024466138213702,3.206817069595999,2.216228770152438,2.216228770152438,0,2.959483743886932,.4939026049362605,3.453386348823193,.0308352611332548
Moussa Diabate,diabamo01,2023,RS,LAC,73,35,9.912618395381775,.9700421392352643,10.88266053461704,15.10604010335662,5.101558702514766,20.20759880587139,11.70303927846596,1.883527149542813,13.58656642800877,.2888789718096009,.2888789718096009,0,6.346929697259258,2.352496805379674,8.699426502638932,-.9860267483431076
Mamadi Diakite,diakima01,2023,RS,CLE,114,58,-4.649681477139668,2.01235468508036,-2.637326792059308,-2.627350761523309,10.31758955929642,7.690238797773109,-4.57415525954658,3.766216511411021,-.8079387481355593,.0566082689174404,.0566082689174404,0,-3.004618168304769,2.280355121938321,-.7242630463664486,-1.514785750489609
Hamidou Diallo,diallha01,2023,RS,DET,763,358,-1.891052429910675,2.105567699683503,.2145152697728276,-2.530143025409215,5.966672471478944,3.436529446069729,-2.114834367861747,3.111015487135929,.9961811192741825,.6854236842107869,.6854236842107869,0,-1.871871750165959,2.111887609950736,.2400158597847772,.1741375069532428
Gorgui Dieng,dienggo01,2023,RS,SAS,223,103,-2.540940301596729,-8.297938584863264,-10.83887888645999,.7368992517021447,-3.144194860815716,-2.407295609113572,-1.927402702942524,-7.521713553151736,-9.449116256094261,-.3570726640085815,-.3570726640085815,0,-1.253544866182124,-6.63281193242831,-7.886356798610434,1.445595465022268
